dist,measure
8.115477592970956e-14,5.593784510394939e-06
8.115477592970956e-14,5.092633142320465e-06
8.115477592970956e-14,4.941879853577826e-06
8.115477592970956e-14,4.446163834686998e-06
8.115477592970956e-14,2.6866390992937746e-06
8.115477592970956e-14,2.5698132910443396e-06
1.1483037345426875e-12,2.5669740060970222e-06
1.1483037345426875e-12,2.367428058084532e-06
1.1483037345426875e-12,2.285237698913985e-06
1.1483037345426875e-12,2.26025311465286e-06
1.1483037345426875e-12,2.069886375622654e-06
1.1483037345426875e-12,1.8417994325587135e-06
3.6217740189185158e-12,1.6551032150009567e-06
3.6217740189185158e-12,1.4120287852597597e-06
3.6217740189185158e-12,1.2922573142441526e-06
3.6217740189185158e-12,1.2527226387258514e-06
3.6217740189185158e-12,8.300470575663123e-07
3.6217740189185158e-12,7.564569618180291e-07
1.781797708121248e-11,5.896262487665716e-07
1.781797708121248e-11,4.982745344819597e-07
1.781797708121248e-11,4.391520860877739e-07
1.781797708121248e-11,3.649840406588843e-07
1.781797708121248e-11,3.445599289787742e-07
1.781797708121248e-11,3.366121615310772e-07
3.941674693254935e-11,3.3325745703772615e-07
3.941674693254935e-11,3.0580155947631563e-07
3.941674693254935e-11,2.690981446135892e-07
3.941674693254935e-11,2.611493406246814e-07
3.941674693254935e-11,2.3133434927366398e-07
3.941674693254935e-11,2.0691072564073e-07
5.2572217503438644e-11,1.9121957530197194e-07
5.2572217503438644e-11,1.7879460096138969e-07
5.2572217503438644e-11,1.5666284312829848e-07
5.2572217503438644e-11,1.4819453318138666e-07
5.2572217503438644e-11,1.2709586704695507e-07
5.2572217503438644e-11,1.2708641205810785e-07
6.018095074969483e-11,1.270465482997381e-07
6.018095074969483e-11,1.1518903484966896e-07
6.018095074969483e-11,8.89517589540227e-08
6.018095074969483e-11,8.887051024905875e-08
6.018095074969483e-11,8.61576173115425e-08
6.018095074969483e-11,7.921791827848374e-08
1.473498014982569e-10,7.527645869786802e-08
1.473498014982569e-10,7.523155560721695e-08
1.473498014982569e-10,5.963905282963408e-08
1.473498014982569e-10,5.8996772165723606e-08
1.473498014982569e-10,5.896403903229464e-08
1.473498014982569e-10,5.8203115437313014e-08
2.7379770839837744e-10,5.813397576413886e-08
2.7379770839837744e-10,5.7502970100523825e-08
2.7379770839837744e-10,5.744333288236128e-08
2.7379770839837744e-10,5.371459180181844e-08
2.7379770839837744e-10,5.3147844179707235e-08
2.7379770839837744e-10,5.2637334831707306e-08
4.4927261913112057e-10,5.257453762913194e-08
4.4927261913112057e-10,5.006385832660482e-08
4.4927261913112057e-10,5.00434995830227e-08
4.4927261913112057e-10,4.9144090107164546e-08
4.4927261913112057e-10,4.9109692367873075e-08
4.4927261913112057e-10,4.8509823564080085e-08
5.188878746492209e-10,4.8135166639490295e-08
5.188878746492209e-10,4.803981990277823e-08
5.188878746492209e-10,4.8021203589082284e-08
5.188878746492209e-10,4.555414084845217e-08
5.188878746492209e-10,4.484516730405159e-08
