dist,measure
2.203500856429244e-11,2.0081454876275603e-10
2.203500856429244e-11,2.0079371524030366e-10
2.203500856429244e-11,1.9604105920911085e-10
2.203500856429244e-11,1.9600755029483956e-10
2.203500856429244e-11,1.92083449623852e-10
2.203500856429244e-11,1.920528746737204e-10
1.8937475962423436e-10,1.7022516282404736e-10
1.8937475962423436e-10,1.7020661403314355e-10
1.8937475962423436e-10,1.6770415470907965e-10
1.8937475962423436e-10,1.6767661155515575e-10
1.8937475962423436e-10,1.6562951303723597e-10
1.8937475962423436e-10,1.655886029458917e-10
5.205536475332427e-10,1.6343719750491473e-10
5.205536475332427e-10,1.6341274998804588e-10
5.205536475332427e-10,1.6329783427230108e-10
5.205536475332427e-10,1.6326032969568768e-10
5.205536475332427e-10,1.6301673585424754e-10
5.205536475332427e-10,1.6300047321609177e-10
1.8089962115509905e-09,1.4733378393238893e-10
1.8089962115509905e-09,1.4729804822904035e-10
1.8089962115509905e-09,1.449430413473476e-10
1.8089962115509905e-09,1.4491128642273192e-10
1.8089962115509905e-09,1.404828788190538e-10
1.8089962115509905e-09,1.404637722137086e-10
3.409580248002593e-09,1.3629063600038185e-10
3.409580248002593e-09,1.362776245053025e-10
3.409580248002593e-09,1.359130593287502e-10
3.409580248002593e-09,1.3589644679386027e-10
3.409580248002593e-09,1.2896347244592927e-10
3.409580248002593e-09,1.2895232929770158e-10
4.6063330880120506e-09,1.2872135861680322e-10
4.6063330880120506e-09,1.2869685434734323e-10
4.6063330880120506e-09,1.2619049182755526e-10
4.6063330880120506e-09,1.261691681720532e-10
4.6063330880120506e-09,1.2603760855307563e-10
4.6063330880120506e-09,1.259974893797207e-10
5.113806489494991e-09,1.2427406845548214e-10
5.113806489494991e-09,1.2423693640323105e-10
5.113806489494991e-09,1.178241388264518e-10
5.113806489494991e-09,1.178169863605963e-10
5.113806489494991e-09,1.1599110395465725e-10
5.113806489494991e-09,1.1594906506675278e-10
1.0778739364818233e-08,1.1504046978329541e-10
1.0778739364818233e-08,1.1502894794632804e-10
1.0778739364818233e-08,1.1441416089952595e-10
1.0778739364818233e-08,1.1437694080991375e-10
1.0778739364818233e-08,1.1025615546646763e-10
1.0778739364818233e-08,1.1024242536441545e-10
1.7276604989954804e-08,1.1023521998541299e-10
1.7276604989954804e-08,1.1022537351088718e-10
1.7276604989954804e-08,1.0825814089231057e-10
1.7276604989954804e-08,1.0825224828357845e-10
1.7276604989954804e-08,1.0753686050917017e-10
1.7276604989954804e-08,1.0752512580166424e-10
2.5721153024532015e-08,1.0647762064000145e-10
2.5721153024532015e-08,1.0646948260624616e-10
2.5721153024532015e-08,1.0519627561343081e-10
2.5721153024532015e-08,1.0516624999825112e-10
2.5721153024532015e-08,1.037004008952121e-10
2.5721153024532015e-08,1.0367442621074167e-10
2.99944066970742e-08,1.0110221938175555e-10
2.99944066970742e-08,1.0105748012094103e-10
2.99944066970742e-08,9.929894926824435e-11
2.99944066970742e-08,9.929211846644448e-11
2.99944066970742e-08,9.887945302943424e-11
2.99944066970742e-08,9.88661101243055e-11
3.403174037071479e-08,9.61716300541704e-11
3.403174037071479e-08,9.615811954736789e-11
3.403174037071479e-08,9.384839602641279e-11
3.403174037071479e-08,9.384507302638389e-11
3.403174037071479e-08,9.38326733821363e-11
3.403174037071479e-08,9.342313858247744e-11
4.2293487091283166e-08,9.249889643406849e-11
4.2293487091283166e-08,9.241798534218573e-11
4.2293487091283166e-08,9.241186959442317e-11
4.2293487091283166e-08,9.235008367695532e-11
4.2293487091283166e-08,9.233674519398387e-11
4.2293487091283166e-08,9.194469199018735e-11
4.849152711949155e-08,9.193865785168107e-11
4.849152711949155e-08,9.066266156868997e-11
4.849152711949155e-08,9.060235792545066e-11
4.849152711949155e-08,8.94997151736623e-11
4.849152711949155e-08,8.949459107613444e-11
4.849152711949155e-08,8.883054912293175e-11
8.2522001725107e-08,8.881209861513232e-11
8.2522001725107e-08,8.852504834327643e-11
8.2522001725107e-08,8.850847005464766e-11
8.2522001725107e-08,8.849120087266251e-11
8.2522001725107e-08,8.818039751789287e-11
8.2522001725107e-08,8.817592190825075e-11
9.104614379040816e-08,8.761937940992955e-11
9.104614379040816e-08,8.722428595883713e-11
9.104614379040816e-08,8.703131583912435e-11
9.104614379040816e-08,8.702623077303825e-11
9.104614379040816e-08,8.692545069840485e-11
9.104614379040816e-08,8.652281899135706e-11
9.442738640926517e-08,8.633869776633282e-11
9.442738640926517e-08,8.617520043355314e-11
9.442738640926517e-08,8.555203941398292e-11
9.442738640926517e-08,8.552952898821947e-11
9.442738640926517e-08,8.387376981367306e-11
9.442738640926517e-08,8.382788028449353e-11
1.1636004715854006e-07,8.382110752467958e-11
1.1636004715854006e-07,8.361242275232542e-11
1.1636004715854006e-07,8.360243467270525e-11
1.1636004715854006e-07,8.266910462817185e-11
1.1636004715854006e-07,8.255195070234672e-11
1.1636004715854007e-07,8.252517900700665e-11
1.56918117264438e-07,8.251017644001775e-11
1.56918117264438e-07,8.225770616448704e-11
1.56918117264438e-07,8.220339475494061e-11
1.56918117264438e-07,8.219797542637814e-11
1.56918117264438e-07,8.112540019026747e-11
1.56918117264438e-07,8.11208610304064e-11
