dist,measure
9.989271412337098e-10,8.037598280522353e-46
9.989271412337098e-10,8.035067739181012e-46
9.989271412337098e-10,7.515441608044383e-46
9.989271412337098e-10,7.51405273217586e-46
9.989271412337098e-10,7.511253737638167e-46
9.989271412337098e-10,7.509872199107658e-46
6.158482246994279e-09,7.215584198255169e-46
6.158482246994279e-09,6.634033739647992e-46
6.158482246994279e-09,6.632587733409865e-46
6.158482246994279e-09,6.398659801116811e-46
6.158482246994279e-09,6.039626664894888e-46
6.158482246994279e-09,6.039478424759189e-46
1.5308951861670986e-08,6.039008613211432e-46
1.5308951861670986e-08,6.038858335581328e-46
1.5308951861670986e-08,5.480988281324821e-46
1.5308951861670986e-08,5.480986410619366e-46
1.5308951861670986e-08,5.301073250217552e-46
1.5308951861670986e-08,5.301071505626444e-46
4.223778875692854e-08,5.229139606732881e-46
4.223778875692854e-08,5.0389904807113315e-46
4.223778875692854e-08,4.78748707098198e-46
4.223778875692854e-08,4.787486829107358e-46
4.223778875692854e-08,4.781927460107307e-46
4.223778875692854e-08,4.367878492452164e-46
7.189082386484544e-08,4.367845841588647e-46
7.189082386484544e-08,4.353118892421078e-46
7.189082386484544e-08,4.353080112538566e-46
7.189082386484544e-08,4.320937379915442e-46
7.189082386484544e-08,4.320694271076966e-46
7.189082386484544e-08,4.3204123891693045e-46
9.689978585434966e-08,4.3201688025233906e-46
9.689978585434966e-08,4.284579452748369e-46
9.689978585434966e-08,4.2844110569700186e-46
9.689978585434966e-08,4.27969251524052e-46
9.689978585434966e-08,4.279527740752153e-46
9.689978585434966e-08,4.2258460687811625e-46
1.0503788834887594e-07,4.150624545930844e-46
1.0503788834887594e-07,4.1506242905725586e-46
1.0503788834887594e-07,4.125492766470941e-46
1.0503788834887594e-07,4.125206526971069e-46
1.0503788834887594e-07,4.1248385406414295e-46
1.0503788834887594e-07,4.124552002368626e-46
2.0029679284128384e-07,4.124223274868042e-46
2.0029679284128384e-07,4.124222909654454e-46
2.0029679284128384e-07,4.1143401034024906e-46
2.0029679284128384e-07,4.114339646479963e-46
2.0029679284128384e-07,4.0390196363129445e-46
2.0029679284128384e-07,4.039019340794384e-46
2.924293925254618e-07,3.9540423725442586e-46
2.924293925254618e-07,3.9540421485959606e-46
2.924293925254618e-07,3.836949258154538e-46
2.924293925254618e-07,3.83648899991899e-46
2.924293925254618e-07,3.807260196238887e-46
2.924293925254618e-07,3.8067975086386616e-46
4.066319500559394e-07,3.7314750855827515e-46
4.066319500559394e-07,3.731472000868565e-46
4.066319500559394e-07,3.694411418997241e-46
4.066319500559394e-07,3.694408576803932e-46
4.066319500559394e-07,3.5873523181388236e-46
4.066319500559394e-07,3.58717237315445e-46
4.737866105599112e-07,3.586750561442009e-46
4.737866105599112e-07,3.58657184670914e-46
4.737866105599112e-07,3.523973447590345e-46
4.737866105599112e-07,3.523971936978117e-46
4.737866105599112e-07,3.4652378766600033e-46
4.737866105599112e-07,3.4652364880545345e-46
5.144292532047286e-07,3.3174241746803175e-46
5.144292532047286e-07,3.3019314253242384e-46
5.144292532047286e-07,3.3019306020631486e-46
